sales_id,created_at,end_at,status,product_id,customer_id,quantity,sales_subtotal,updated_at,medio_de_pago,bank_origin
239,12/04/2025 6:12,12/04/2025 6:12,created,957,18,1,299.98,12/04/2025 6:12,Transferencia bancaria,scotiabank
463,12/04/2025 0:26,12/04/2025 0:26,created,579,35,2,79.98,12/04/2025 0:26,Transferencia bancaria,BCP
540,12/04/2025 15:04,12/04/2025 15:04,created,1014,41,1,49.98,12/04/2025 15:04,efectivo,efectivo
1211,12/04/2025 8:28,12/04/2025 8:28,created,957,91,1,299.98,12/04/2025 8:28,digital,yapE
2026,12/04/2025 18:04,12/04/2025 18:04,created,478,158,3,150.0,12/04/2025 18:04,Transferencia bancaria,Interbank
2164,12/04/2025 13:53,12/04/2025 13:53,created,1014,172,2,99.96,12/04/2025 13:53,digital,pLin
3298,12/04/2025 12:15,12/04/2025 12:15,created,341,245,4,239.96,12/04/2025 12:15,digital,PliN
3320,12/04/2025 22:47,12/04/2025 22:47,created,478,247,3,150.0,12/04/2025 22:47,digital,PliN
4833,12/04/2025 3:31,12/04/2025 3:31,created,478,356,5,250.0,12/04/2025 3:31,Transferencia bancaria,IntERBANK 
4911,12/04/2025 4:12,12/04/2025 4:12,created,1014,363,2,99.96,12/04/2025 4:12,Transferencia bancaria,BcP
4919,12/04/2025 14:16,12/04/2025 14:16,created,579,363,4,159.96,12/04/2025 14:16,digital,YAPe
4963,12/04/2025 15:34,12/04/2025 15:34,created,1004,366,1,399.98,12/04/2025 15:34,Transferencia bancaria,SCOTIABANK
5269,12/04/2025 18:57,12/04/2025 18:57,created,957,385,1,299.98,12/04/2025 18:57,digital,YAPe
5438,12/04/2025 11:57,12/04/2025 11:57,created,1014,397,2,99.96,12/04/2025 11:57,Transferencia bancaria, Scotiabank
6454,12/04/2025 2:58,12/04/2025 2:58,created,1004,467,1,399.98,12/04/2025 2:58,Transferencia bancaria,Interbank
6682,12/04/2025 11:09,12/04/2025 11:09,created,1073,483,1,199.99,12/04/2025 11:09,efectivo,efectivo
8096,12/04/2025 16:07,12/04/2025 16:07,created,379,584,1,129.99,12/04/2025 16:07,digital,yapE
