sales_id,created_at,end_at,status,product_id,customer_id,quantity,sales_subtotal,updated_at,medio_de_pago,bank_origin
79,13/01/2026 5:48,13/01/2026 5:48,created,478,7,2,100.0,13/01/2026 5:48,efectivo,efectivo
261,13/01/2026 6:49,13/01/2026 6:49,created,478,19,5,250.0,13/01/2026 6:49,Transferencia bancaria,PichinchA
737,13/01/2026 10:13,13/01/2026 10:13,created,957,55,1,299.98,13/01/2026 10:13,Transferencia bancaria,bcp
2776,13/01/2026 22:12,13/01/2026 22:12,created,1014,212,1,49.98,13/01/2026 22:12,Transferencia bancaria,scotiabank
3178,13/01/2026 5:30,13/01/2026 5:30,created,478,238,4,200.0,13/01/2026 5:30,digital,YAPe
3519,13/01/2026 12:22,13/01/2026 12:22,created,957,260,1,299.98,13/01/2026 12:22,digital,yapE
3682,13/01/2026 16:35,13/01/2026 16:35,created,341,274,1,59.99,13/01/2026 16:35,digital,YAPe
3829,13/01/2026 5:18,13/01/2026 5:18,created,191,285,1,99.99,13/01/2026 5:18,digital,yapE
4815,13/01/2026 12:31,13/01/2026 12:31,created,341,354,5,299.95,13/01/2026 12:31,Transferencia bancaria,  Pichincha  
5065,13/01/2026 16:13,13/01/2026 16:13,created,774,373,1,47.99,13/01/2026 16:13,Transferencia bancaria, BCP   
5237,13/01/2026 2:20,13/01/2026 2:20,created,379,383,1,129.99,13/01/2026 2:20,digital,pLin
5898,13/01/2026 0:46,13/01/2026 0:46,created,1004,434,1,399.98,13/01/2026 0:46,digital,PliN
6217,13/01/2026 2:27,13/01/2026 2:27,created,1073,452,1,199.99,13/01/2026 2:27,efectivo,efectivo
7407,13/01/2026 7:29,13/01/2026 7:29,created,1073,535,1,199.99,13/01/2026 7:29,efectivo,efectivo
7475,13/01/2026 1:10,13/01/2026 1:10,created,341,540,2,119.98,13/01/2026 1:10,Transferencia bancaria, Scotiabank
7655,13/01/2026 0:44,13/01/2026 0:44,created,1014,552,2,99.96,13/01/2026 0:44,Transferencia bancaria, BCP   
8195,13/01/2026 1:57,13/01/2026 1:57,created,1073,592,1,199.99,13/01/2026 1:57,Transferencia bancaria,  Pichincha  
8480,13/01/2026 4:34,13/01/2026 4:34,created,341,615,1,59.99,13/01/2026 4:34,Transferencia bancaria,SCOTIABANK
9397,13/01/2026 0:37,13/01/2026 0:37,created,1073,680,1,199.99,13/01/2026 0:37,digital,pLin
10012,13/01/2026 7:12,13/01/2026 7:12,created,1014,722,4,199.92,13/01/2026 7:12,efectivo,efectivo
10127,13/01/2026 20:39,13/01/2026 20:39,created,957,731,1,299.98,13/01/2026 20:39,digital,pLin
10499,13/01/2026 21:47,13/01/2026 21:47,created,341,752,5,299.95,13/01/2026 21:47,Transferencia bancaria,BBVA   
10566,13/01/2026 1:01,13/01/2026 1:01,created,478,757,2,100.0,13/01/2026 1:01,digital,YAPe
10600,13/01/2026 19:14,13/01/2026 19:14,created,579,759,2,79.98,13/01/2026 19:14,efectivo,efectivo
10755,13/01/2026 8:28,13/01/2026 8:28,created,1004,773,1,399.98,13/01/2026 8:28,Transferencia bancaria,Interbank
10789,13/01/2026 5:47,13/01/2026 5:47,created,379,774,1,129.99,13/01/2026 5:47,Transferencia bancaria,PichinchA
11206,13/01/2026 6:09,22/01/2026 2:20,finalized,1004,806,1,399.98,22/01/2026 2:20,efectivo,efectivo
11634,13/01/2026 8:44,16/01/2026 9:44,finalized,1004,841,1,399.98,16/01/2026 9:44,digital,pLin
12482,13/01/2026 17:05,21/01/2026 8:28,finalized,1004,900,1,399.98,21/01/2026 8:28,efectivo,efectivo
12486,13/01/2026 8:11,23/01/2026 0:09,finalized,282,900,5,159.95,23/01/2026 0:09,Transferencia bancaria,BBVA   
13134,13/01/2026 0:53,19/01/2026 21:54,finalized,379,949,1,129.99,19/01/2026 21:54,efectivo,efectivo
13445,13/01/2026 13:00,21/01/2026 19:38,finalized,379,970,1,129.99,21/01/2026 19:38,efectivo,efectivo
13825,13/01/2026 19:05,16/01/2026 23:35,finalized,1014,1002,3,149.94,16/01/2026 23:35,Transferencia bancaria,  Pichincha  
13873,13/01/2026 7:08,23/01/2026 16:07,finalized,579,1006,1,39.99,23/01/2026 16:07,efectivo,efectivo
14133,13/01/2026 9:23,18/01/2026 0:19,finalized,191,1018,2,199.98,18/01/2026 0:19,digital,PliN
15121,13/01/2026 9:53,20/01/2026 11:08,finalized,191,1099,3,299.97,20/01/2026 11:08,efectivo,efectivo
15463,13/01/2026 11:57,18/01/2026 0:59,finalized,191,1122,4,399.96,18/01/2026 0:59,Transferencia bancaria,BCP
16145,13/01/2026 8:25,20/01/2026 11:13,finalized,478,1171,1,50.0,20/01/2026 11:13,Transferencia bancaria,pichincha
17305,13/01/2026 12:01,20/01/2026 4:46,finalized,191,1262,5,499.95,20/01/2026 4:46,Transferencia bancaria,Interbank
17475,13/01/2026 6:40,16/01/2026 8:39,finalized,478,1274,2,100.0,16/01/2026 8:39,digital,PliN
17921,13/01/2026 21:05,20/01/2026 23:50,finalized,1073,1305,1,199.99,20/01/2026 23:50,efectivo,efectivo
18123,13/01/2026 19:23,21/01/2026 7:05,finalized,1004,1325,1,399.98,21/01/2026 7:05,efectivo,efectivo
18498,13/01/2026 15:56,17/01/2026 13:03,finalized,478,1353,4,200.0,17/01/2026 13:03,Transferencia bancaria, Scotiabank
19190,13/01/2026 16:14,21/01/2026 19:16,finalized,774,1402,2,95.98,21/01/2026 19:16,digital,YAPe
19399,13/01/2026 14:57,19/01/2026 0:50,finalized,579,1418,5,199.95,19/01/2026 0:50,efectivo,efectivo
20340,13/01/2026 22:57,19/01/2026 4:25,finalized,957,1491,1,299.98,19/01/2026 4:25,Transferencia bancaria,BCP
20716,13/01/2026 22:30,23/01/2026 6:37,finalized,478,1513,5,250.0,23/01/2026 6:37,Transferencia bancaria,Interbank
20930,13/01/2026 6:17,24/01/2026 0:27,finalized,957,1529,1,299.98,24/01/2026 0:27,Transferencia bancaria,pichincha
21997,13/01/2026 23:43,20/01/2026 2:30,finalized,1073,1598,1,199.99,20/01/2026 2:30,digital,YAPe
22109,13/01/2026 21:25,23/01/2026 23:45,finalized,341,1604,5,299.95,23/01/2026 23:45,digital,pLin
22668,13/01/2026 22:53,18/01/2026 1:34,finalized,478,1643,3,150.0,18/01/2026 1:34,Transferencia bancaria, BCP   
22839,13/01/2026 3:46,21/01/2026 1:06,finalized,957,1656,1,299.98,21/01/2026 1:06,digital,PliN
